"","STOP_FRISK_DOM","STOP_FRISK_TIME_MINUTES","MONTH2","DAY2","STOP_WAS_INITIATED","ISSUING_OFFICER_RANK","SUPERVISING_OFFICER_RANK","JURISDICTION_DESCRIPTION","OBSERVED_DURATION_MINUTES","SUSPECTED_CRIME_DESCRIPTION","STOP_DURATION_MINUTES","OFFICER_EXPLAINED_STOP_FLAG","OTHER_PERSON_STOPPED_FLAG","OFFICER_IN_UNIFORM_FLAG","ID_CARD_IDENTIFIES_OFFICER_FLAG","SHIELD_IDENTIFIES_OFFICER_FLAG","VERBAL_IDENTIFIES_OFFICER_FLAG","FRISKED_FLAG","SEARCHED_FLAG","OTHER_CONTRABAND_FLAG","FIREARM_FLAG","KNIFE_CUTTER_FLAG","OTHER_WEAPON_FLAG","WEAPON_FOUND_FLAG","PHYSICAL_FORCE_CEW_FLAG","PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG","PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG","PHYSICAL_FORCE_OC_SPRAY_USED_FLAG","PHYSICAL_FORCE_OTHER_FLAG","PHYSICAL_FORCE_RESTRAINT_USED_FLAG","PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG","PHYSICAL_FORCE_WEAPON_IMPACT_FLAG","BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG","BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG","SUSPECTS_ACTIONS_CASING_FLAG","SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG","SUSPECTS_ACTIONS_DECRIPTION_FLAG","SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG","SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG","SUSPECTS_ACTIONS_LOOKOUT_FLAG","SUSPECTS_ACTIONS_OTHER_FLAG","SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG","SEARCH_BASIS_ADMISSION_FLAG","SEARCH_BASIS_CONSENT_FLAG","SEARCH_BASIS_HARD_OBJECT_FLAG","SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG","SEARCH_BASIS_OTHER_FLAG","SEARCH_BASIS_OUTLINE_FLAG","DEMEANOR_OF_PERSON_STOPPED","SUSPECT_REPORTED_AGE","SUSPECT_SEX","SUSPECT_RACE_DESCRIPTION","SUSPECT_HEIGHT","SUSPECT_WEIGHT","SUSPECT_BODY_BUILD_TYPE","SUSPECT_EYE_COLOR","SUSPECT_HAIR_COLOR","STOP_LOCATION_PRECINCT","SUSPECT_ARRESTED_FLAG"
"21",19,1179,"August","Saturday","Based_on_Self_Initiated","POM","SGT","PSB",5,"CRIMINAL_SALE_OF_CONTROLLED_SUBSTANCE",10,"Y","N","Y","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","UPSET",22,"MALE","BLACK",5.7,170,"THN","BRO","BLK",14,"Y"
"22",4,950,"April","Tuesday","Based_on_Self_Initiated","POM","SGT","PSB",1,"CRIMINAL_POSSESSION_OF_FORGED_INSTRUMENT",5,"Y","Y","N","N","S","V","N","Y","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","NORMAL",17,"MALE","WHITE_HISPANIC",5.5,115,"THN","BRO","BLK",18,"Y"
"23",4,950,"April","Tuesday","Based_on_Self_Initiated","POM","SGT","PSB",1,"CRIMINAL_POSSESSION_OF_FORGED_INSTRUMENT",5,"Y","Y","N","N","S","V","N","Y","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","NORMAL",17,"MALE","WHITE_HISPANIC",5.9,150,"MED","BRO","BLK",18,"Y"
"24",5,210,"March","Sunday","Based_on_C_W_on_Scene","POM","SGT","PSB",1,"CPW",10,"Y","Y","Y","N","N","N","Y","Y","N","N","Y","N","Y","N","N","Y","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","Y","IRRATE, CALM",27,"MALE","BLACK",6.4,240,"HEA","BRO","BLK",19,"Y"
"25",11,725,"September","Monday","Based_on_Self_Initiated","POM","SGT","PSB",10,"OTHER",20,"Y","N","N","N","S","V","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N","OTHER",25,"MALE","BLACK",6.1,160,"MED","BRO","BLK",19,"N"
"26",4,1160,"February","Saturday","Based_on_Self_Initiated","POM","SGT","PSB",2,"GRAND_LARCENY_AUTO",6,"Y","N","N","N","N","V","Y","Y","Y","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","GRAND LARCENY AUTO",34,"MALE","WHITE_HISPANIC",5.5,185,"MED","BRO","BLK",23,"Y"
"27",11,950,"February","Saturday","Based_on_Self_Initiated","POM","SGT","PSB",30,"CRIMINAL_POSSESSION_OF_MARIHUANA",3,"Y","N","N","N","N","V","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","CRIMINAL POSSESSION OF MARIHUANA",38,"MALE","BLACK",6.2,200,"MED","BRO","BLK",23,"N"
"28",22,1375,"February","Wednesday","Based_on_Self_Initiated","POM","SGT","Housing",3,"CPW",10,"N","N","N","N","S","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N","CPW",43,"MALE","BLACK",5.7,140,"THN","BLK","BLK",23,"N"
"29",9,1258,"April","Sunday","Based_on_Self_Initiated","POM","SGT","Housing",1,"CPW",5,"Y","N","N","N","S","V","Y","N","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N","N","NERVOUS, UNCOOPERATIVE",15,"MALE","BLACK",5.7,220,"HEA","BRO","BLK",23,"N"
"30",24,1070,"May","Wednesday","Based_on_Radio_Run","POM","SGT","PSB",1,"CPW",10,"Y","Y","N","N","N","V","Y","N","N","N","N","Y","Y","N","N","N","N","N","N","Y","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","CPW",16,"MALE","WHITE_HISPANIC",5.5,140,"THN","BRO","BLK",23,"N"
