"","STOP_FRISK_DOM","STOP_FRISK_TIME_MINUTES","MONTH2","DAY2","STOP_WAS_INITIATED","ISSUING_OFFICER_RANK","SUPERVISING_OFFICER_RANK","JURISDICTION_DESCRIPTION","OBSERVED_DURATION_MINUTES","SUSPECTED_CRIME_DESCRIPTION","STOP_DURATION_MINUTES","OFFICER_EXPLAINED_STOP_FLAG","OTHER_PERSON_STOPPED_FLAG","OFFICER_IN_UNIFORM_FLAG","ID_CARD_IDENTIFIES_OFFICER_FLAG","SHIELD_IDENTIFIES_OFFICER_FLAG","VERBAL_IDENTIFIES_OFFICER_FLAG","FRISKED_FLAG","SEARCHED_FLAG","OTHER_CONTRABAND_FLAG","FIREARM_FLAG","KNIFE_CUTTER_FLAG","OTHER_WEAPON_FLAG","WEAPON_FOUND_FLAG","PHYSICAL_FORCE_CEW_FLAG","PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG","PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG","PHYSICAL_FORCE_OC_SPRAY_USED_FLAG","PHYSICAL_FORCE_OTHER_FLAG","PHYSICAL_FORCE_RESTRAINT_USED_FLAG","PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG","PHYSICAL_FORCE_WEAPON_IMPACT_FLAG","BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG","BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG","SUSPECTS_ACTIONS_CASING_FLAG","SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG","SUSPECTS_ACTIONS_DECRIPTION_FLAG","SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG","SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG","SUSPECTS_ACTIONS_LOOKOUT_FLAG","SUSPECTS_ACTIONS_OTHER_FLAG","SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG","SEARCH_BASIS_ADMISSION_FLAG","SEARCH_BASIS_CONSENT_FLAG","SEARCH_BASIS_HARD_OBJECT_FLAG","SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG","SEARCH_BASIS_OTHER_FLAG","SEARCH_BASIS_OUTLINE_FLAG","DEMEANOR_OF_PERSON_STOPPED","SUSPECT_REPORTED_AGE","SUSPECT_SEX","SUSPECT_RACE_DESCRIPTION","SUSPECT_HEIGHT","SUSPECT_WEIGHT","SUSPECT_BODY_BUILD_TYPE","SUSPECT_EYE_COLOR","SUSPECT_HAIR_COLOR","STOP_LOCATION_PRECINCT","SUSPECT_ARRESTED_FLAG"
"4885",6,1020,"November","Wednesday","Based_on_Self_Initiated","POF","SGT","PSB",5,"ROBBERY",2,"Y","N","N","N","S","V","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","ROBBERY",34,"MALE","BLACK",5.1,200,"MED","BLK","XXX",48,"N"
"4886",6,795,"November","Friday","Based_on_Radio_Run","POM","SGT","PSB",2,"OTHER",10,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","OTHER",17,"MALE","BLACK",6.4,225,"MED","BRO","BLK",48,"N"
"4887",6,870,"November","Sunday","Based_on_Self_Initiated","POM","SGT","PSB",2,"CPW",5,"Y","N","Y","N","N","N","Y","Y","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N","Y","N","Y","N","N","N","CPW",16,"MALE","BLACK",6.1,175,"THN","BRO","BLK",48,"Y"
"4888",6,1030,"November","Monday","Based_on_Radio_Run","POM","SGT","PSB",3,"CRIMINAL_SALE_OF_CONTROLLED_SUBSTANCE",8,"Y","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","Y","N","N","N","N","N","N","Y","N","N","N","N","NERVOUS",51,"MALE","WHITE_HISPANIC",5.8,190,"HEA","BRO","BLD",48,"N"
"4889",6,920,"November","Monday","Based_on_Radio_Run","POM","SGT","Housing",3,"ROBBERY",2,"Y","N","N","N","S","N","Y","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","ROBBERY",23,"MALE","BLACK",5.3,160,"MED","BRO","BLK",48,"Y"
"4890",6,1104,"November","Tuesday","Based_on_Self_Initiated","POF","LT","PSB",1,"ROBBERY",5,"Y","N","Y","N","N","N","Y","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","UPSET",24,"MALE","BLACK",6.2,220,"U","BRO","BLK",48,"N"
"4891",6,1175,"November","Tuesday","Based_on_Self_Initiated","POM","SGT","PSB",1,"CPW",6,"Y","N","Y","N","N","N","Y","Y","Y","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","NERVOUSNESS, ANNOYED, IRATE",36,"MALE","BLACK_HISPANIC",5.11,160,"THN","BRO","BLK",48,"Y"
"4892",6,877,"November","Tuesday","Based_on_Radio_Run","POM","SGT","PSB",1,"CPW",5,"Y","N","Y","N","N","N","Y","N","N","N","N","N","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","CPW",36,"MALE","BLACK",5.7,170,"THN","BRO","BLK",48,"N"
"4893",6,1360,"November","Sunday","Based_on_Radio_Run","POM","SGT","PSB",0,"PETIT_LARCENY",30,"Y","N","Y","N","N","N","Y","Y","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","Y","N","N","PETIT LARCENY",23,"MALE","BLACK_HISPANIC",6.1,160,"THN","BRO","BLK",48,"Y"
"4894",6,1053,"December","Saturday","Based_on_Radio_Run","POM","SGT","PSB",0,"ASSAULT",7,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","NORMAL/FINE",34,"MALE","BLACK",6.1,195,"HEA","BRO","BLK",48,"N"
